name,lat,lng,country,rating
Straight Up Bar,10.707674,122.5488547,Philippines,3.7
The Dolphin & Anchor,50.83690499999999,-0.7800009999999999,United Kingdom,3.9
Buffalo Wild Wings,40.0704313,-80.8753904,USA,4
Freeney's Bar,53.2719392,-9.0534278,Ireland,4.5
Sea Grill Restaurant,25.9313229,-80.1314628,USA,4.5
Moe's Southwest Grill,33.3008439,-117.3111769,USA,3.9
Phoenix,37.38049609999999,-5.997959,Spain,4.1
The Junction Bar,52.2264328,-9.891934899999999,Ireland,4.6
Seasons 52,40.085768,-75.39439,USA,4.4
Zwan,-38.02726510000001,-57.53184959999999,Argentina,4.1
Restaurante Bar Uyrapuru,-22.2320912,-45.9347931,Brazil,4.2
Harbro Bar&Lounge,46.3408119,18.7110265,7100 Hungary,4.9
Welcome Resto Bar,-28.4702486,-65.7866371,Argentina,4
The Black Boar,14.567871,121.058886,Philippines,4.4
Ridgeway Arms,53.331979,-1.3801333,United Kingdom,4
Bar Solon,-22.4184261,-47.5658575,Brazil,4.6
The Cactus,40.6548013,-80.29326189999999,USA,4.3
Blarney Stone Pub,39.2832875,-76.5936581,USA,4.7
Lord Stanley's and the Annex,41.9303996,-88.7532787,USA,4.2
Nola,-34.5935823,-58.42494430000001,Argentina,4.3
Waves Restaurant & Bar,53.9891762,-8.0662644,Ireland,4.4
The Main Grill and Ale House,42.0380064,-82.7406572,Canada,4.4
The Crowded House,37.3280295,-87.49973609999999,USA,4.3
Mc Onor,45.4932722,12.2410162,Italy,4.1
Tommy's Taverns,39.9131297,-75.2746829,USA,4.1
Glasshalfull,35.9097711,-79.0725779,USA,4.6
Cervejaria Diamantina,-18.2538662,-43.6211807,Brazil,5
Bodacious Bar-B-Q,32.5400409,-94.9518174,USA,4.1
